time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
144.86102729999993,4,53,108493,65015,19966,22062,14548,7733,4733,7441,0,0,-1
145.8628638,10,53,199363,158354,12325,28000,6116,19475,2019,4223,0,0,-1
146.86463479999998,14,60,162102,28646,42721,3648,8355,7284,6101,4929,0,0,-1
149.8677232,14,64,87385,29503,20834,27269,10693,4283,5752,5882,0,0,-1
150.8687817,14,60,225314,87153,23963,8540,7592,8293,7824,2816,0,0,-1
151.87018609999996,7,66,108782,132396,38331,13181,10837,10156,3360,4275,0,0,-1
153.87328980000007,1,43,94423,61136,13970,16019,8208,6100,4308,4831,0,0,-1
154.87507370000003,3,26,55565,84469,1525,3919,5481,7832,2489,1396,0,0,-1
156.87726670000006,11,20,209555,99475,9252,9875,8108,12525,2228,3457,0,0,-1
157.8781437,34,26,57568,12263,13132,3084,3338,6919,6199,3420,0,0,-1
158.8791745000001,38,34,29341,26355,11825,14607,14631,4357,4464,7704,0,0,-1
159.88027310000007,35,60,28187,61307,36925,13336,15908,7851,3032,2039,0,0,-1
162.88376900000003,37,69,28459,49686,10887,17196,12395,10235,5033,2940,0,0,-1
163.8855684,23,63,600479,68333,16665,21535,4905,8915,4210,8882,0,0,-1
164.88654440000005,27,51,21098,54962,8283,6908,11061,9298,4839,4098,0,0,-1
165.88788049999994,20,43,177651,135572,36705,10087,11957,6935,8852,3492,0,0,-1
166.88896120000004,3,47,61335,32547,9305,7494,1747,1738,662,523,0,0,-1
167.89007270000002,4,61,23038,17965,35618,9908,4093,5632,2800,2629,0,0,-1
168.891028,1,87,268406,11065,24440,3507,1839,1825,902,519,0,0,-1
169.8920657000001,16,91,20383,24984,16676,1090,7043,11881,3761,5084,0,0,-1
170.8940087000001,26,100,594434,34524,28029,24684,4237,6171,4772,6880,0,0,-1
171.89531480000005,23,93,19352,25241,10119,17681,3747,3743,3780,1803,0,0,-1
174.89921920000006,43,87,25430,7473,4639,12507,3693,6063,3166,5170,0,0,-1
175.90057969999998,40,96,24590,12047,18228,6884,4983,7289,5643,2459,0,0,-1
177.90222640000002,27,88,29371,20077,8771,5388,2077,726,1865,1105,0,0,-1
178.90339640000002,37,74,24079,41009,1972,10529,12256,7011,6487,5867,0,0,-1
180.9061475000001,20,64,83514,45797,24111,1159,855,3251,3742,1377,0,0,-1
181.90845710000008,10,43,93587,89951,12259,4346,11181,8044,7911,6737,0,0,-1
182.90959169999996,29,34,511426,41894,2085,11763,8621,6560,8791,6081,0,0,-1
183.9108822999999,40,48,8410,21286,5833,20874,3981,13958,11272,4376,0,0,-1
184.9118249999999,56,60,5281,6518,17035,7081,3792,5715,8906,6829,0,0,-1
185.91316899999993,66,88,10161,9350,16623,29741,3811,11219,7113,5329,0,0,-1
188.91916349999997,78,90,13764,19868,5984,2479,3283,9150,5562,3615,0,0,-1
189.92034579999995,69,91,22636,12668,17079,3641,8641,5080,7304,5374,0,0,-1
190.92158480000012,63,78,72193,19741,5697,5241,1650,3162,10068,6175,0,0,-1
191.92296609999994,74,64,82187,14363,18841,7251,11431,17742,7805,8454,0,0,-1
192.92511590000004,75,63,70382,31168,8058,4392,10737,14837,12227,6679,0,0,-1
193.92610839999998,70,56,55436,34200,22782,5752,19118,7679,13918,18439,0,0,-1
194.9275715000001,81,60,61126,20059,10512,12454,3414,9568,15170,5716,0,0,-1
195.92836710000006,77,64,28057,7377,7219,8825,3875,6941,8588,5099,0,0,-1
196.9295608,78,78,13025,11176,20065,4678,9629,14507,8911,13674,0,0,-1
197.93042349999996,87,81,45759,16608,13359,8743,5986,8676,8104,3145,0,0,-1
200.9344023000001,83,78,20807,16470,6097,5756,3600,5310,3721,9090,0,0,-1
201.93591420000007,88,78,8896,13023,7510,28545,4453,19652,15121,2823,0,0,-1
202.9372939,83,75,13097,14059,1857,11705,4436,8084,11987,3012,0,0,-1
203.93897330000004,96,57,9557,10484,708,3707,10131,9428,10587,7506,0,0,-1
204.94043030000012,100,63,26704,9372,12506,1617,3837,7154,8908,3978,0,0,-1
205.94184450000012,100,41,20831,9259,3455,2120,12023,11619,4605,6064,0,0,-1
206.9428706000001,100,51,8517,10278,5430,23598,4141,9851,9346,2290,0,0,-1
207.94394220000004,96,74,8133,7084,11520,5915,2894,7155,9489,6295,0,0,-1
209.94566020000002,74,54,119696,52333,5930,1910,1341,1952,1735,2129,0,0,-1
210.94707599999992,53,64,86796,57371,20783,4640,8018,12249,16400,5468,0,0,-1
213.95050100000003,60,47,19305,10698,5195,936,3037,8610,5617,5789,0,0,-1
214.95197170000006,53,29,22254,29366,4706,4003,2300,5639,4967,7981,0,0,-1
215.9531068000001,60,51,24908,33239,3918,42576,4816,4837,5554,3970,0,0,-1
216.95433249999996,61,47,25382,70737,5881,11706,8707,14036,9475,3165,0,0,-1
217.9555401,53,57,10219,22789,9610,19160,7369,12854,19459,5243,0,0,-1
218.9574537000001,66,40,195708,42130,11472,2687,22921,10015,5270,6776,0,0,-1
219.95872630000008,80,48,30046,17253,11360,1427,4406,14457,6447,5978,0,0,-1
220.95983660000002,83,27,183316,62885,5274,6439,6534,28490,5278,6954,0,0,-1
221.96145460000002,81,48,4955,8288,28664,4738,4351,6515,5549,10853,0,0,-1
224.96542060000002,81,69,23486,11223,5067,23418,5356,6918,15555,4084,0,0,-1
225.9664889999999,64,78,566662,31195,11561,19422,5975,6910,12457,6329,0,0,-1
226.96808379999993,61,100,21650,4073,23696,11403,2574,10712,3803,4307,0,0,-1
227.96933949999993,60,96,14744,16699,17558,1391,10605,5088,5165,3355,0,0,-1
228.97053159999996,63,88,36077,22216,11681,6905,4168,8991,6843,7145,0,0,-1
229.9721927999999,54,70,65862,84252,8816,7389,7546,5205,3526,3385,0,0,-1
230.97287060000008,54,51,18721,14822,4499,5849,5289,6615,2385,10360,0,0,-1
231.9861788999999,61,50,21165,22324,1561,16711,7285,9264,4384,5359,0,0,-1
232.98714790000008,57,47,9647,11870,4604,6197,10299,3595,5450,3742,0,0,-1
233.9891302000001,70,67,25951,13858,7371,34988,13456,9194,5185,5027,0,0,-1
