time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
445.11729449999984,1,70,1813283,586359,58097,23425,56600,29229,14475,14088,0,0,-1
447.1240081000142,16,54,115190,12297,309,5607,3171,3165,2347,595,0,0,-1
449.12638919998426,11,44,40854,37496,2962,2929,1497,2974,1432,585,0,0,-1
451.12811439996585,17,27,955882,354210,59760,20420,60860,40688,22046,9700,0,0,-1
453.130288299988,29,47,714277,65838,30362,17585,24076,15408,3098,2259,0,0,-1
454.13243620004505,14,64,182389,7970,15840,9776,1147,1369,751,855,0,0,-1
455.1337708999636,21,78,392354,37052,23430,9194,8207,10926,1724,3457,0,0,-1
457.1431752999779,29,90,90189,5166,4881,488,818,2116,271,819,0,0,-1
460.14622730005067,29,90,623391,16054,15036,2104,2635,5928,3760,7192,0,0,-1
461.1474695999641,48,78,522834,37093,50279,12652,11146,27580,14797,6773,0,0,-1
464.1512507000007,41,63,296281,145090,17956,8290,12502,11490,4374,2780,0,0,-1
465.1529260999523,50,40,57334,72556,4444,6569,16673,41924,19225,14708,0,0,-1
466.1544661000371,43,26,149934,86242,12289,11672,9010,8759,10173,5530,0,0,-1
467.1570029000286,23,8,171924,31494,378,2389,2114,1206,2261,534,0,0,-1
468.15881379996426,24,34,56125,19151,36430,16825,8895,42123,13336,7915,0,0,-1
470.161421900033,30,34,241452,20016,2002,5078,3913,4823,2648,4121,0,0,-1
474.1668062000536,40,43,448666,76574,32756,21880,13335,10514,13713,12531,0,0,-1
475.1688354000216,40,34,625937,43763,16218,11403,15194,45764,6223,22773,0,0,-1
477.1720184000442,40,38,268488,34840,3943,14510,10139,8850,3899,3637,0,0,-1
480.175557199982,40,53,2005692,161382,53396,43282,24722,16437,21068,23799,0,0,-1
481.1771047000075,37,51,696364,58779,22789,8848,8509,4735,5292,3960,0,0,-1
483.1805528999539,27,51,178323,19839,3489,5429,2608,7087,6904,2145,0,0,-1
484.1832415000536,26,30,246835,68738,830,1880,5840,9844,3724,3052,0,0,-1
485.18503030005377,23,29,287638,79461,21881,5487,867,5773,7274,2907,0,0,-1
486.1867304999614,37,38,1159620,58371,38490,44160,17977,29685,5253,12248,0,0,-1
488.1901008000132,29,40,1126898,285084,20074,67294,26795,39147,18606,17078,0,0,-1
491.1938841999509,23,61,469082,78426,19356,8012,15459,6731,7190,5286,0,0,-1
494.1983659999678,24,56,1262778,308018,30677,37310,27344,24090,7198,4885,0,0,-1
496.2011511999881,20,57,271444,14402,15622,11483,7756,5772,2671,4157,0,0,-1
497.20323530002497,41,77,60654,71279,13344,13500,7265,22718,9342,7324,0,0,-1
498.2045963000273,60,83,95823,41233,25272,11111,11379,38133,12639,8104,0,0,-1
499.2062468000222,57,67,158509,27958,3053,6132,6560,4560,2006,3092,0,0,-1
501.2086214000592,50,63,83442,26670,9582,3713,3367,2202,3867,509,0,0,-1
504.2137859000359,29,69,67820,114620,91440,42269,51717,14156,17873,9104,0,0,-1
507.2189767999808,51,64,28529,19907,5748,4466,8515,36600,9803,8988,0,0,-1
508.2202174999984,35,61,163810,78616,37139,7580,8059,11257,2826,3495,0,0,-1
511.2227231999859,38,56,1256404,280227,45170,21568,8536,30662,14735,17206,0,0,-1
513.2262307000346,34,40,289272,115618,12278,3803,6050,3996,3376,2113,0,0,-1
514.2276089000516,17,41,67948,121495,21290,10968,11930,36225,15308,9079,0,0,-1
516.230874300003,21,27,217281,171804,10900,11646,18664,23863,10099,13617,0,0,-1
517.232841799967,41,37,28669,12908,20217,10731,12423,30997,11517,19346,0,0,-1
518.2342799999751,61,43,189706,23387,1579,8392,4467,9257,5109,5361,0,0,-1
519.2356409999775,75,47,13243,16681,5671,9270,6619,33945,16665,5028,0,0,-1
520.2370801999932,77,44,353961,318432,12638,19446,30328,52734,19991,8242,0,0,-1
523.2414976999862,69,34,28424,72342,17226,1485,7294,31172,9682,6056,0,0,-1
524.2432742000092,78,34,314925,8958,3058,2468,1658,9645,5034,1299,0,0,-1
525.2445839999709,61,44,32879,39115,57089,13902,16546,20424,19288,8269,0,0,-1
527.2481313999742,51,48,141261,94710,4808,7444,11790,5569,1559,4748,0,0,-1
528.2497155000456,53,56,205997,44411,28153,10494,7259,33543,10272,14014,0,0,-1
530.2518748999573,27,54,202292,369669,68710,28909,18975,17115,12169,16364,0,0,-1
531.2533776999917,30,38,72698,38502,2792,10779,29857,15230,4815,5772,0,0,-1
533.2572460999945,54,44,186165,13179,5192,843,2882,11381,26591,2754,0,0,-1
534.2594417999499,61,41,120721,7818,1179,5324,2325,12381,5120,2515,0,0,-1
535.2632400000002,66,43,1125261,218612,37196,25707,9810,16888,10749,16982,0,0,-1
538.2668382000411,51,48,389584,64185,10363,16223,12857,5683,4097,4033,0,0,-1
539.2683011000045,30,48,544195,81879,13707,8756,20440,6535,3970,4862,0,0,-1
540.2694898999762,20,53,639009,24298,13865,7215,4818,11449,7335,2859,0,0,-1
541.2709236999508,41,54,300029,65249,31294,10256,6258,67259,57548,11746,0,0,-1
542.2730756000383,53,57,1550401,286223,3291,48090,80368,18666,14069,8519,0,0,-1
543.2754878000123,38,53,216639,43647,20499,2981,4916,10571,2527,2074,0,0,-1
544.2768476000056,30,40,1930345,205018,13147,26314,14674,28793,23263,11460,0,0,-1
545.2785708999727,43,54,1334768,60619,49211,46105,34341,33065,15940,13704,0,0,-1
548.2832013999578,41,56,1094178,219449,33197,57038,28410,47687,32411,16686,0,0,-1
549.284529000055,30,47,529168,115483,15904,1704,5100,6767,4720,1217,0,0,-1
550.2860629999777,38,44,200932,76016,8780,5819,19709,22884,11021,9132,0,0,-1
551.2878042999655,40,34,399992,21607,3690,3872,5050,8196,3865,2676,0,0,-1
553.2909106999869,41,29,1344206,168360,30655,17083,22480,34737,10230,14099,0,0,-1
554.292280600057,63,40,100417,4688,960,4109,3359,5854,1866,4639,0,0,-1
555.2944932000246,56,43,2173214,273387,24821,41170,60096,36733,20510,18091,0,0,-1
556.2968529999489,54,51,572028,103137,22203,12664,15231,46886,15233,18017,0,0,-1
558.299937200034,37,40,141710,73391,6668,2540,8818,7227,5165,2694,0,0,-1
562.3042916000122,43,47,155394,55897,14703,20431,12915,21504,45787,9665,0,0,-1
563.3062190000201,60,29,537942,85649,4675,9118,9276,74207,60494,12945,0,0,-1
564.308327900013,67,37,451525,15454,12594,13676,8174,31254,47630,11425,0,0,-1
566.3110164999962,66,53,2840381,179410,20786,120454,38135,25745,13377,6156,0,0,-1
567.3132422999479,64,51,350296,83966,17642,16862,13890,21986,23725,9117,0,0,-1
568.3143175999867,48,60,114650,210688,31760,23635,25534,34219,29403,16066,0,0,-1
569.3155381999677,43,60,1584785,49871,49636,29314,42403,60045,23875,17207,0,0,-1
570.3166230999632,53,53,217026,44974,1934,19917,18749,16949,36586,14083,0,0,-1
572.3195119999582,38,53,230162,162305,34281,16695,7253,6934,17888,3171,0,0,-1
574.3217497000005,44,60,879385,41084,20040,14365,21471,22318,10165,21714,0,0,-1
577.3259142000461,35,54,527666,126225,47870,8200,54020,27328,28355,22573,0,0,-1
578.3269680000376,44,53,177029,13739,8816,7008,35083,22276,20864,17426,0,0,-1
579.3281027999474,57,50,2980287,236684,59358,13256,28593,48767,23809,30867,0,0,-1
580.3294009000529,56,57,311975,35238,49877,22292,10860,26138,14394,16109,0,0,-1
581.3306169999996,48,54,1777310,165098,21041,14997,9092,10779,5031,17092,0,0,-1
582.3321850999491,47,53,56129,17897,5115,3031,7893,15397,3973,3115,0,0,-1
583.33321349998,43,67,1440858,88075,109502,12950,10258,21349,7481,20196,0,0,-1
26.3124343,0,0,23158,38809,37129,14432,8245,12615,6344,5733,0,0,0
27.315037800000013,0,0,228774,280726,41692,24144,31126,24322,12858,12232,0,0,0
28.31707390000001,40,30,1480219,141401,7453,15092,15770,23742,26033,11769,0,0,0
30.3200408,57,35,154973,12962,5379,4105,3796,10185,3573,4573,0,0,0
31.32228690000001,63,35,90592,113694,21180,16945,10588,29297,17023,10485,0,0,0
32.3237506,100,51,12732,5317,8086,6673,12686,16620,15713,16146,0,0,0
33.3248133,93,48,11909,28479,441,9201,4538,5713,5871,2179,0,0,0
35.32846769999999,70,48,419310,398709,18294,95055,23126,21355,10633,10602,0,0,0
36.33017210000001,44,43,1892448,215574,43651,23233,9354,30211,30790,10443,0,0,0
37.33142830000001,44,35,33695,10060,5448,2861,8970,29038,8138,6964,0,0,0
38.333804400000005,47,43,126605,54470,25679,26105,18603,24042,14619,6674,0,0,0
40.33642440000001,53,54,34529,6360,2926,2381,795,947,1018,590,0,0,0
42.33871699999999,48,56,213290,65799,12434,13103,5512,7915,4029,1304,0,0,0
43.340770800000016,37,66,61557,30730,15112,15690,5651,32922,15676,6732,0,0,0
44.34172120000001,24,61,312921,147568,40236,28891,17706,17970,12351,15050,0,0,0
47.34676019999999,34,61,1513806,20487,12302,12683,9013,7732,4903,5668,0,0,0
49.350480700000006,23,44,159674,297281,10649,13281,28781,8644,4883,7892,0,0,0
50.35223900000001,10,37,237731,137999,12627,23540,16042,24371,35426,7762,0,0,0
52.35526610000001,10,35,102467,112747,47091,4608,21097,12653,13548,4197,0,0,0
53.357913900000014,10,35,436407,14614,13439,4046,6868,5431,4728,2852,0,0,0
54.3587332,37,69,11298,6791,47487,17688,10307,24987,8372,6285,0,0,0
55.36088199999999,43,87,407718,11160,5437,15439,2974,8388,8735,2617,0,0,0
57.36468660000001,47,83,346457,30329,7492,3914,7896,4095,8298,9839,0,0,0
58.36720609999999,51,67,632389,36251,4414,3961,6184,12184,4590,3258,0,0,0
59.368857300000016,57,53,4483,9695,15289,11699,36206,25795,7712,4729,0,0,0
61.3723605,50,35,192390,36793,6605,1105,5169,5244,6053,5875,0,0,0
62.37481820000001,47,38,226934,181130,46201,32416,12381,16944,15428,9723,0,0,0
63.37638249999999,54,47,36106,32642,7251,19162,4606,35151,9155,7305,0,0,0
65.38022250000002,34,35,232617,42775,2801,3922,2443,4178,5022,3292,0,0,0
66.3822647,37,24,78372,32263,1668,1217,4352,6508,5813,1712,0,0,0
67.3840201,50,27,2056441,95117,68734,5510,17983,40241,13182,16520,0,0,0
68.38642449999999,50,38,70683,12012,30798,8018,4555,28976,16232,22188,0,0,0
69.38922570000001,57,54,1017400,103915,89707,16980,9778,43973,42238,21463,0,0,0
70.3907358,75,74,23963,19106,3416,18561,8806,35324,25649,10155,0,0,0
