time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
105.52846449997742,66,63,340142,134285,96245,94480,39710,25610,8602,5542,0,0
106.530322699924,51,69,949168,131438,138921,45521,24398,16329,11774,6242,0,0
107.53175249998458,40,64,1549818,242485,70756,6398,21961,11934,9413,3227,0,0
108.53295969997998,23,66,582660,61679,20839,12422,5524,6786,6528,6975,0,0
110.53531039995141,21,60,105178,18285,7845,2804,2659,2047,1378,1423,0,0
112.53840369998943,34,51,454024,114500,25078,29049,14268,25001,8565,8150,0,0
113.53988820000086,53,48,80645,29899,5545,3075,5787,10363,2013,1757,0,0
114.54127429996151,60,50,2119223,73727,37328,24641,20933,18775,8821,4785,0,0
115.5432708999142,60,38,78787,68317,5211,3668,3397,5249,4311,842,0,0
120.54840039997362,51,30,1772953,76454,11058,8384,33437,5637,4001,3592,0,0
121.54953479999676,27,37,93825,59207,22673,3059,4643,2798,1795,1953,0,0
122.55152819992509,17,38,1373236,264411,184515,68040,78870,25976,20064,10650,0,0
123.55305200000294,24,51,84820,15818,5045,8151,1789,4235,1912,2285,0,0
124.55460279993713,30,60,1509299,45436,10755,13185,11119,7246,7916,11474,0,0
125.55568250000942,38,57,563088,109815,11244,28259,9326,9050,5378,5557,0,0
126.55933790002018,41,48,146230,360687,8733,92323,27360,34244,14418,8326,0,0
127.56022039998788,27,41,94609,257985,46714,19934,20277,12135,11504,7695,0,0
128.5612655999139,27,37,1993039,133078,31135,12197,29825,17376,7751,4673,0,0
130.56308769993484,38,37,250307,53885,15032,10282,16110,11997,1996,2135,0,0
134.56811320001725,40,48,1300806,128839,124926,19846,17614,25845,11790,8295,0,0
135.57013649994042,40,40,1899317,459756,11687,41473,11402,19366,9921,3395,0,0
136.5725434999913,37,48,295717,42139,23174,18884,27949,7398,2613,1769,0,0
137.57396379997954,30,57,59289,22267,19403,17603,11501,4696,1070,1424,0,0
138.57543769991025,37,53,483030,69302,29477,18853,12574,18542,5730,9180,0,0
139.57653889991343,35,57,108559,52884,4244,7315,2953,1941,1239,2150,0,0
140.57792770001106,29,57,996664,62111,26848,13152,4863,4743,1455,2688,0,0
141.5802278999472,27,56,128203,151103,159631,36248,21186,25042,8467,4097,0,0
142.5824738999363,17,54,656489,59223,16659,7379,4643,5140,4088,904,0,0
143.58447609993163,35,50,107435,79786,2935,9786,17695,14747,5887,5683,0,0
146.5888625999214,44,43,234498,25126,4018,5584,7527,4030,3938,2715,0,0
148.59064129996113,35,26,76310,58448,2246,5679,6026,2067,3674,1715,0,0
149.5916872000089,41,23,569943,131326,21951,18485,8914,17126,8422,14276,0,0
152.59520029998384,37,30,1199656,90700,6698,33458,35401,14067,20001,9339,0,0
153.59726159996353,37,13,720515,233338,8523,3143,39185,28510,17232,19533,0,0
154.5985265999334,61,24,165001,3136,763,3816,6509,2369,2215,804,0,0
157.6022612999659,57,26,893185,67531,13437,14688,10876,7942,8283,8515,0,0
159.60498399997596,50,30,240367,13064,3572,3816,1489,843,2575,1322,0,0
161.60705079999752,53,56,279864,27825,12055,22063,12254,10791,43131,24451,0,0
162.60850460000802,29,63,168775,70145,20333,52280,10318,4297,18829,4256,0,0
165.61445310001727,40,70,746388,22897,22464,9013,5836,12887,6926,5297,0,0
167.61693819996435,47,78,145576,6653,8432,1849,2403,1723,346,617,0,0
168.61797249992378,44,66,1655726,150506,19102,20333,27394,26604,5164,12653,0,0
169.6192774999654,63,66,108433,16349,20018,8381,8506,6744,2676,3823,0,0
170.6206701999763,48,50,1076554,86817,5106,7021,8540,6496,3350,1100,0,0
171.62197949993424,53,43,2084950,156630,23951,85339,25625,45055,7290,5823,0,0
172.624499599915,48,51,1471424,154282,72713,37236,48429,26429,25981,10512,0,0
173.62606949999463,40,41,626518,55350,2913,4404,16777,4824,3644,3245,0,0
174.62756559997797,30,35,290142,180958,41257,14238,20523,15402,9884,10807,0,0
177.63090689992532,30,35,814361,26138,10854,5542,2964,3674,6054,779,0,0
178.63207739999052,35,29,233324,199111,16046,29335,51628,17913,7866,5163,0,0
180.63422389992047,27,35,565437,48001,1706,6051,2721,2053,718,871,0,0
183.63722099992447,47,35,331121,9686,1896,4005,9048,5829,2006,1478,0,0
186.64065099996515,48,30,49485,10620,1344,3454,1735,1860,823,281,0,0
188.64260429993737,53,35,173874,35292,10803,1974,8798,5370,2629,884,0,0
190.6444129999727,56,47,575341,196279,104998,30717,46888,16609,6440,12010,0,0
192.64661279995926,44,41,952951,213183,10932,26917,23779,30502,5464,7278,0,0
