time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
112.39474229999996,60,26,9565,11361,18360,13225,22780,8160,15291,2446,0,0
115.4264974000007,60,48,13160,19908,26179,3833,4351,5882,2335,1931,0,0
116.43919900000037,44,66,12144,13965,18513,13565,6437,3641,3163,2753,0,0
117.45408120000047,47,69,25956,8726,14540,11439,4502,7650,4694,4318,0,0
118.45759700000053,50,57,76163,82250,9909,9910,17598,13469,3262,9521,0,0
119.46457230000033,61,54,12708,8917,18999,6199,9433,17533,6109,5918,0,0
120.47646340000028,69,48,5560,17562,11065,6371,3858,7728,2608,3797,0,0
121.48331540000072,77,35,283753,55061,2232,2710,4596,14642,2863,2590,0,0
122.48724260000017,61,27,44018,17762,4048,2663,1597,1856,745,570,0,0
123.50143690000004,61,37,2485,7030,33275,4199,8532,9889,3517,3375,0,0
126.52842810000038,51,29,82679,36341,7275,5034,3537,3798,4694,2299,0,0
127.52953380000054,50,57,17508,2430,8454,10534,2724,4143,2148,2675,0,0
128.53585050000038,43,66,36078,21738,16672,4296,2975,1350,337,855,0,0
129.54678970000077,38,67,2803,9531,15123,19381,3690,4972,3528,2426,0,0
130.55565950000073,51,80,13209,1158,12837,10802,3966,11521,3831,5391,0,0
131.56511890000002,57,69,20378,11329,10648,5326,7165,13309,9010,11869,0,0
133.58048430000053,67,60,266904,89139,11351,21364,12422,12386,11573,19460,0,0
134.59087720000025,77,53,13954,13493,14824,9178,3484,12669,16815,15485,0,0
135.59262070000023,75,48,13116,12312,21670,7461,10576,15645,19895,10916,0,0
136.60864670000046,75,43,14995,18187,3638,7914,3297,16011,41307,14757,0,0
139.6262525000002,77,43,354161,102461,4104,30766,3729,16670,19895,26510,0,0
140.64065500000015,63,38,684839,120057,33633,15703,1557,8424,4407,9287,0,0
141.64502770000036,56,41,7460,18759,7740,31089,6094,9811,5019,8143,0,0
142.65120100000058,44,56,18935,5429,8582,16878,2905,4068,6466,2614,0,0
143.66002320000007,47,69,4301,13525,10379,22428,4285,7327,3382,1439,0,0
144.66211879999992,40,61,418198,254968,35423,11956,4158,7242,3597,3635,0,0
145.6713890000001,30,57,59116,23391,18685,6888,10875,2362,5128,1466,0,0
146.6731094000006,38,48,119628,17658,17446,5651,8418,11711,2973,2166,0,0
147.68291829999998,23,34,64728,64209,14905,770,1812,2219,1690,1128,0,0
148.68929260000004,34,41,314059,17441,6406,4246,6483,1920,2551,1941,0,0
153.73919139999998,27,38,848628,195373,39179,73615,10640,8777,19411,12051,0,0
154.7401791000002,21,40,562469,73486,72363,24559,28486,26542,4257,6108,0,0
156.76549010000053,26,54,213571,19218,16717,10614,1504,1979,446,1779,0,0
157.7712588000004,23,67,12537,15282,41641,31443,8923,4475,2538,2196,0,0
158.7781289000004,30,84,12132,7401,52753,9255,3085,6171,4612,3038,0,0
159.78148170000077,29,90,7137,11025,37866,9833,16207,6341,3661,2809,0,0
160.78730630000064,38,90,42126,10577,16222,3648,2805,4328,2320,1799,0,0
161.79546320000009,51,84,6068,6810,19454,10165,5224,9429,1133,3296,0,0
162.79715990000022,47,80,91356,30461,79455,39353,16912,7420,1805,2478,0,0
165.82741250000072,38,84,10478,22618,29714,21757,2321,8706,2692,1845,0,0
166.83507410000038,26,67,590444,48712,6233,4908,7532,3727,3714,3440,0,0
167.84097139999994,26,44,86277,24990,2652,1071,1740,1437,1075,528,0,0
168.84661250000045,34,35,144741,15014,8012,6730,8463,3548,6074,2048,0,0
169.85390780000034,34,41,105689,4967,20849,12125,5048,4180,3165,2881,0,0
170.85922930000015,29,30,102451,60492,2332,1587,342,2398,450,468,0,0
171.87145430000055,41,51,8376,14657,34858,7128,3025,11368,2508,2331,0,0
172.87534770000002,35,70,25535,7609,78653,19720,3626,4980,3995,3815,0,0
173.88326120000056,54,81,24346,7023,2961,5899,6275,4974,3742,1626,0,0
176.91668819999995,74,54,254819,13884,23780,5403,2477,5333,3266,1830,0,0
177.9218193000006,69,51,75039,17814,9462,14360,8580,5374,2492,2108,0,0
178.93420640000022,56,44,83026,20834,1936,3688,1896,1510,1222,495,0,0
179.94518940000034,43,38,80914,18551,2337,679,2444,2712,862,398,0,0
180.95672850000028,53,24,48991,11709,1554,6834,12633,7759,3145,2953,0,0
181.97046970000065,54,27,344566,10848,8900,8419,3326,4895,3386,3967,0,0
182.9736169000007,51,40,27133,36933,45534,5330,5544,3446,2014,4532,0,0
183.98211300000003,50,61,15778,29510,51347,11796,6352,8553,4181,3445,0,0
184.99437190000026,40,63,886832,102208,16538,36528,12078,19968,17351,9416,0,0
188.02214880000065,30,53,924122,143456,29227,17907,8277,10043,20805,10734,0,0
189.02768580000065,44,48,26795,11262,6142,4556,2237,5089,5363,5154,0,0
190.03846150000027,43,40,91834,106031,52511,21221,14652,12594,19317,4259,0,0
191.04941860000054,43,37,66116,27326,3877,4401,3588,4214,1286,893,0,0
192.0553174000006,48,30,992334,133313,22402,16396,78207,19988,26453,13656,0,0
193.06815370000004,41,11,1753932,339934,5492,6200,20487,29294,13188,14099,0,0
194.07243930000004,40,13,944310,99888,60776,18207,14536,9808,6574,6863,0,0
195.08215330000075,17,11,2943920,622372,86319,28203,37675,5906,6886,5862,0,0
196.0889685000002,14,21,277045,69102,13238,29406,14383,6747,5053,6321,0,0
197.09355660000074,7,34,179959,82000,9566,4422,8916,3036,2448,2226,0,0
200.12039069999992,8,30,250722,29872,753,14761,4896,3163,2188,2862,0,0
201.13330660000065,30,35,75729,39331,6286,9951,11454,8512,6211,2723,0,0
202.13555480000014,35,37,44145,13568,4993,4178,1179,2221,2046,1465,0,0
203.1451848000006,48,54,46795,9852,31775,8946,5328,7394,3563,5460,0,0
204.15926330000002,43,47,46892,20014,3452,3898,991,2586,939,623,0,0
205.1732307000002,57,43,21156,9719,3148,2564,2526,9492,3402,3363,0,0
206.1832368000005,56,37,113885,14715,8077,10234,4847,3841,4595,3688,0,0
207.19097200000033,47,38,438743,180267,25448,8638,5783,4144,1816,2190,0,0
208.1962065000007,51,41,23027,16590,10872,5705,9979,6883,3271,2602,0,0
211.22201230000064,26,48,2950,21551,6902,29713,4184,2941,5172,2292,0,0
212.22578580000027,41,60,15334,9584,5818,17555,11928,5543,3961,5943,0,0
213.23577620000015,27,56,19139,73453,6714,24459,6366,3812,3084,1634,0,0
214.24658070000078,38,61,5586,8433,5586,3288,2767,2933,3806,5990,0,0
215.2565882000008,43,61,249802,41612,35740,27269,3641,8217,1651,4050,0,0
216.27150560000064,37,57,204729,9863,4052,4028,3042,1094,1178,1022,0,0
217.27509950000058,47,50,688298,62023,6995,2978,5197,10846,7564,5969,0,0
218.2797771000005,41,43,187344,78573,12312,15896,3071,10560,2769,5646,0,0
219.28382430000056,30,26,720677,237369,19298,11225,6211,6716,3464,3525,0,0
224.33027710000079,30,23,616355,277395,64370,66802,65422,25813,24444,11941,0,0
225.33963050000057,37,29,62800,13715,2683,5661,7678,5292,6684,7967,0,0
226.34712860000036,34,24,133814,56136,5376,2860,3527,4821,3076,2432,0,0
